,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
252,Ireland,"1,494,814","6,903 ","1,344,749","143,162",53,"296,835","1,371","11,942,846","2,371,570",Europe,"5,035,840 ",3,730,0
253,Kazakhstan,"1,305,315","13,660 ","1,290,679",976,24,"68,070",712,"11,575,012","603,621",Asia,"19,175,968 ",15,"1,404",2
254,Morocco,"1,164,135","16,061 ","1,147,355",719,293,"30,889",426,"11,237,010","298,157",Africa,"37,688,292 ",32,"2,347",3
255,Singapore,"1,145,121","1,307 ","1,076,802","67,012",19,"193,037",220,"23,611,604","3,980,283",Asia,"5,932,142 ",5,"4,539",0
256,Cuba,"1,097,675","8,519 ","1,086,730","2,426",23,"97,016",753,"12,920,253","1,141,938",North America,"11,314,325 ",10,"1,328",1
257,Lithuania,"1,043,569","8,982 ","995,243","39,344",45,"393,090","3,383","8,148,805","3,069,483",Europe,"2,654,781 ",3,296,0
258,Slovenia,"990,895","6,541 ","956,341","28,013",32,"476,519","3,146","2,629,234","1,264,392",Europe,"2,079,446 ",2,318,1
259,Belarus,"970,750","6,882 ","928,536","35,332",,"102,792",729,"12,973,046","1,373,711",Europe,"9,443,797 ",10,"1,372",1
260,Bolivia,"903,477","21,899 ","849,431","32,147",220,"75,566","1,832","2,688,875","224,896",South America,"11,956,065 ",13,546,4
261,UAE,"894,286","2,302 ","875,116","16,868",,"88,518",228,"151,097,132","14,955,920",Asia,"10,102,831 ",11,"4,389",0
262,Costa Rica,"844,892","8,357 ","825,599","10,936",44,"163,207","1,614","4,163,300","804,220",North America,"5,176,817 ",6,619,1
263,Latvia,"809,917","5,687 ","788,866","15,364",22,"437,998","3,075","7,109,136","3,844,580",Europe,"1,849,132 ",2,325,0
264,New Zealand,"786,058",483 ,"717,175","68,400",,"157,146",97,"6,956,253","1,390,667",Australia/Oceania,"5,002,100 ",6,"10,356",1
265,Saudi Arabia,"752,078","9,060 ","737,748","5,270",73,"21,021",253,"41,693,268","1,165,347",Asia,"35,777,569 ",48,"3,949",1
266,Paraguay,"648,446","18,734 ","624,673","5,039",3,"88,971","2,570","2,615,453","358,857",South America,"7,288,285 ",11,389,3
267,Myanmar,"612,406","19,434 ","591,029","1,943",,"11,123",353,"7,798,434","141,640",Asia,"55,058,290 ",90,"2,833",7
268,Dominican Republic,"578,626","4,375 ","574,132",119,16,"52,406",396,"3,251,191","294,457",North America,"11,041,303 ",19,"2,524",3
269,Bahrain,"561,065","1,473 ","555,146","4,446",5,"310,561",815,"9,657,213","5,345,459",Asia,"1,806,620 ",3,"1,226",0
270,Moldova,"515,649","11,471 ","502,191","1,987",41,"128,357","2,855","3,188,832","793,776",Europe,"4,017,295 ",8,350,1
271,Libya,"501,834","6,429 ","490,837","4,568",101,"71,310",914,"2,475,203","351,722",Africa,"7,037,385 ",14,"1,095",3
272,Mongolia,"469,191","2,177 ","313,256","153,758",192,"139,138",646,"4,030,048","1,195,106",Asia,"3,372,126 ",7,"1,549",1
273,Armenia,"422,691","8,621 ","410,365","3,705",,"142,172","2,900","3,003,171","1,010,118",Asia,"2,973,090 ",7,345,1
274,Oman,"388,741","4,256 ","383,776",709,5,"72,834",797,"25,000,000","4,683,950",Asia,"5,337,375 ",14,"1,254",0
275,Qatar,"363,031",677 ,"361,138","1,216",1,"129,294",241,"3,418,486","1,217,494",Asia,"2,807,805 ",8,"4,147",1
276,Kenya,"323,583","5,649 ","317,801",133,,"5,791",101,"3,554,588","63,616",Africa,"55,876,000 ",173,"9,891",16
277,North Macedonia,"307,967","9,256 ","297,600","1,111",,"147,832","4,443","1,984,493","952,608",Europe,"2,083,222 ",7,225,1
278,Albania,"274,236","3,494 ","270,378",364,2,"95,479","1,216","1,787,376","622,300",Europe,"2,872,210 ",10,822,2
279,Nigeria,"255,633","3,142 ","249,825","2,666",11,"1,188",15,"4,977,858","23,129",Africa,"215,217,370 ",842,"68,497",43
280,Uzbekistan,"238,098","1,637 ","236,029",432,23,"6,935",48,"1,377,915","40,136",Asia,"34,331,414 ",144,"20,972",25
281,Luxembourg,"226,339","1,051 ","210,026","15,262",3,"351,415","1,632","4,191,996","6,508,512",Europe,"644,079 ",3,613,0
282,Kyrgyzstan,"200,970","2,991 ","196,303","1,676",131,"29,926",445,"1,907,195","283,998",Asia,"6,715,512 ",33,"2,245",4
283,Iceland,"183,974",110 ,"75,685","108,179",1,"532,980",319,"1,953,616","5,659,702",Europe,"345,180 ",2,"3,138",0
284,Afghanistan,"178,257","7,676 ","161,363","9,218","1,124","4,403",190,"931,702","23,013",Asia,"40,486,198 ",227,"5,274",43
285,Uganda,"164,012","3,596 ","100,200","60,216",,"3,395",74,"2,592,957","53,677",Africa,"48,306,880 ",295,"13,434",19
286,Ghana,"161,071","1,445 ","159,592",34,1,"4,998",45,"2,428,236","75,351",Africa,"32,225,569 ",200,"22,301",13
287,Martinique,"147,519",918 ,104,"146,497",8,"393,649","2,450","828,928","2,211,961",North America,"374,748 ",3,408,0
288,Guadeloupe,"140,130",854 ,"2,250","137,026",19,"350,110","2,134","938,039","2,343,656",North America,"400,246 ",3,469,0
289,Cambodia,"135,980","3,055 ","132,666",259,,"7,938",178,"2,939,061","171,571",Asia,"17,130,265 ",126,"5,607",6
290,Jamaica,"129,093","2,917 ","82,094","44,082",,"43,260",977,"955,357","320,144",North America,"2,984,146 ",23,"1,023",3
291,Angola,"99,194","1,900 ","97,149",145,,"2,860",55,"1,499,795","43,244",Africa,"34,682,277 ",350,"18,254",23
