,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
97,Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,230","1,964","62,056","1,417,483","43,779 ",North America
98,Eritrea,"9,738",,103 ,,"9,631",,4,,"2,677",28,"23,693","6,514","3,637,426 ",Africa
99,Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"3,999",83,"135,939","66,176","2,054,216 ",Africa
100,Comoros,"8,100",,160 ,,"7,933",,7,,"8,961",177,,,"903,939 ",Africa
101,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A,,928,15,"259,958","31,405","8,277,696 ",Africa
102,Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,061","17,299,381 ",Africa
103,British Virgin Islands,"6,467",,62 ,,N/A,N/A,N/A,1,"211,312","2,026","103,397","3,378,545","30,604 ",North America
104,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6,,"26,334",322,"29,036","128,079","226,704 ",Africa
105,Cook Islands,"5,367",,1 ,,"5,230",,136,,"305,047",57,"17,373","987,439","17,594 ",Australia/Oceania
106,St. Barth,"4,575",,6 ,,N/A,N/A,N/A,,"460,586",604,"78,646","7,917,648","9,933 ",North America
107,Anguilla,"2,984",,9 ,,"2,916",,59,4,"195,659",590,"51,382","3,369,091","15,251 ",North America
108,Montserrat,653,,2 ,,313,,338,,"130,652",400,"10,843","2,169,468","4,998 ",North America
109,Falkland Islands,197,, ,,N/A,N/A,N/A,,"53,708",,"8,632","2,353,326","3,668 ",South America
110,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe
111,Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,560 ",Africa
112,Niue,9,, ,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania
113,Nauru,7,, ,,4,,3,,639,,,,"10,950 ",Australia/Oceania
114,USA,"83,953,371","+87,487","1,025,764 ",+226,"81,107,296","+46,529","1,820,311","1,794","250,905","3,066","1,014,741,268","3,032,684","334,601,743 ",North America
115,India,"43,113,413","+2,827","524,181 ",+24,"42,570,165","+3,230","19,067",698,"30,682",373,"841,986,891","599,210","1,405,161,912 ",Asia
116,France,"29,061,523","+40,299","147,075 ",+96,"27,929,038","+103,884","985,410","1,364","443,408","2,244","269,816,888","4,116,745","65,541,322 ",Europe
117,UK,"22,145,157",+529,"176,424 ",,"21,616,575","+26,588","352,158",253,"323,064","2,574","519,264,096","7,575,273","68,547,249 ",Europe
118,S. Korea,"17,658,794","+43,899","23,491 ",+29,N/A,N/A,N/A,383,"343,884",457,"15,804,065","307,766","51,350,995 ",Asia
119,Turkey,"15,048,449","+1,670","98,870 ",+9,"14,946,104","+1,711","3,475",975,"174,938","1,149","160,225,407","1,862,614","86,021,816 ",Asia
120,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,006","2,801","35,716,069","777,031","45,964,778 ",South America
121,Netherlands,"8,064,424","+1,401","22,287 ",+6,"7,973,258","+6,623","68,879",57,"468,721","1,295","21,107,399","1,226,806","17,205,170 ",Europe
122,Iran,"7,226,672",+453,"141,198 ",+6,"7,012,770","+2,072","72,704",818,"84,044","1,642","51,622,353","600,356","85,986,283 ",Asia
123,Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,437","2,694","34,560,302","666,049","51,888,507 ",South America
124,Poland,"6,001,893",+566,"116,164 ",+15,"5,335,004",+32,"550,725",981,"158,907","3,076","36,188,226","958,127","37,769,758 ",Europe
125,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A,177,"115,765","2,508","19,521,252","451,393","43,246,695 ",Europe
126,Thailand,"4,345,218","+7,650","29,255 ",+56,"4,237,692","+9,322","78,271","1,496","61,964",417,"17,270,775","246,286","70,124,735 ",Asia
127,Belgium,"4,102,082",,"31,580 ",,"3,903,711",,"166,791",122,"351,111","2,703","33,779,532","2,891,304","11,683,149 ",Europe
128,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,098","2,211","41,697,794","4,111,564","10,141,589 ",Europe
129,South Africa,"3,862,165","+10,017","100,609 ",+50,"3,691,684","+6,488","69,872",192,"63,632","1,658","24,765,642","408,033","60,695,163 ",Africa
130,Philippines,"3,687,428",+109,"60,439 ",,"3,623,661",+418,"3,328",289,"32,840",538,"29,763,475","265,070","112,285,313 ",Asia
131,Chile,"3,586,522","+3,295","57,667 ",+25,"3,456,649","+2,268","72,206",173,"184,677","2,969","37,466,692","1,929,237","19,420,468 ",South America
132,Greece,"3,375,812","+4,761","29,471 ",+27,"3,287,981","+7,436","58,360",185,"326,839","2,853","80,897,630","7,832,338","10,328,670 ",Europe
133,Romania,"2,901,080",+705,"65,589 ",+7,N/A,N/A,N/A,144,"152,690","3,452","22,891,994","1,204,855","18,999,797 ",Europe
134,Iraq,"2,326,033",+162,"25,215 ",,"2,299,572",+121,"1,246",14,"55,520",602,"18,512,761","441,879","41,895,563 ",Asia
135,Bangladesh,"1,952,888",+33,"29,127 ",,"1,898,312",+249,"25,449","1,273","11,643",174,"14,033,932","83,669","167,731,723 ",Asia
136,Slovakia,"1,785,978",+443,"20,002 ",+8,"1,757,977","+1,385","7,999",33,"326,830","3,660","7,120,136","1,302,970","5,464,545 ",Europe
137,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,411","4,229","16,920,079","4,256,656","3,974,970 ",Asia
138,Ireland,"1,524,555",,"7,163 ",,"1,485,903","+1,715","31,489",30,"302,488","1,421","12,132,098","2,407,135","5,040,057 ",Europe
139,Kazakhstan,"1,305,607",+4,"13,661 ",,"1,291,376",+5,570,24,"68,025",712,"11,575,012","603,080","19,193,146 ",Asia
140,Hong Kong,"1,207,371",+280,"9,355 ",+3,N/A,N/A,N/A,5,"158,661","1,229","44,972,952","5,909,903","7,609,762 ",Asia
141,Bulgaria,"1,160,706",+359,"37,019 ",+12,"999,645","+4,626","124,042",67,"169,409","5,403","9,909,423","1,446,317","6,851,486 ",Europe
142,Cuba,"1,104,206",+96,"8,529 ",+1,"1,095,154",+142,523,23,"97,598",754,"12,920,253","1,141,991","11,313,798 ",North America
143,Lithuania,"1,060,072",+212,"9,125 ",+3,"1,030,935",+752,"20,012",9,"399,741","3,441","9,951,218","3,752,490","2,651,897 ",Europe
144,Tunisia,"1,041,197",,"28,575 ",,N/A,N/A,N/A,29,"86,421","2,372","4,592,916","381,221","12,047,923 ",Africa
145,New Zealand,"1,013,721","+8,047",855 ,+29,"960,384","+11,667","52,482",,"202,659",171,"7,115,383","1,422,479","5,002,100 ",Australia/Oceania
146,Nepal,"978,978",+18,"11,952 ",,"966,839",+16,187,,"32,515",397,"5,662,311","188,064","30,108,348 ",Asia
147,UAE,"901,076",+312,"2,302 ",,"885,035",+264,"13,739",,"89,110",228,"158,184,246","15,643,265","10,111,971 ",Asia
148,Ecuador,"871,046",,"35,602 ",,N/A,N/A,N/A,759,"48,019","1,963","2,470,170","136,174","18,139,765 ",South America
149,Guatemala,"850,255",,"17,719 ",,"830,386",,"2,150",5,"45,885",956,"4,516,595","243,746","18,529,950 ",North America
150,Panama,"796,461","+3,324","8,199 ",+5,"769,618",+779,"18,644",16,"179,355","1,846","5,975,743","1,345,677","4,440,696 ",North America
151,Saudi Arabia,"757,191",+642,"9,108 ",+4,"742,927",+145,"5,156",60,"21,139",254,"42,049,904","1,173,953","35,819,075 ",Asia
152,Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,064","2,587","2,633,737","361,034","7,294,987 ",South America
153,Myanmar,"613,082",+16,"19,434 ",,"592,001",+14,"1,647",,"11,130",353,"8,049,855","146,132","55,086,148 ",Asia
154,Dominican Republic,"580,020",,"4,376 ",,"575,175",,469,1,"52,492",396,"3,296,116","298,301","11,049,619 ",North America
155,Estonia,"573,922",,"2,556 ",,"514,836",,"56,530",3,"432,109","1,924","3,345,340","2,518,723","1,328,189 ",Europe
156,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,713","2,860","3,216,305","800,757","4,016,581 ",Europe
157,Taiwan,"505,424","+57,185",951 ,+8,"39,254",,"465,219",,"21,150",40,"15,584,088","652,144","23,896,703 ",Asia
158,Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,396",843,"9,477,138","7,744,936","1,223,656 ",Asia
159,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,177",645,"4,030,048","1,193,675","3,376,168 ",Asia
160,Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,221","2,900","3,068,217","1,031,850","2,973,512 ",Asia
