,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
252,Ireland,"1,524,555",,"7,163 ",,"1,484,188","+1,410","33,204",32,"302,488","1,421","12,125,378","2,405,802","5,040,057 ",Europe
253,Kazakhstan,"1,305,603",+11,"13,661 ",,"1,291,371",+5,571,24,"68,024",712,"11,575,012","603,080","19,193,146 ",Asia
254,Hong Kong,"1,207,091",+273,"9,352 ",+5,N/A,N/A,N/A,5,"158,624","1,229","44,972,952","5,909,903","7,609,762 ",Asia
255,Bulgaria,"1,160,347",+422,"37,007 ",+13,"995,019","+3,193","128,321",72,"169,357","5,401","9,902,921","1,445,368","6,851,486 ",Europe
256,Cuba,"1,104,110",+53,"8,528 ",+1,"1,095,012",+116,570,23,"97,590",754,"12,920,253","1,141,991","11,313,798 ",North America
257,Lithuania,"1,059,860",+263,"9,122 ",+3,"1,030,183",+635,"20,555",12,"399,661","3,440","9,949,382","3,751,798","2,651,897 ",Europe
258,Tunisia,"1,041,197",+485,"28,575 ",+9,N/A,N/A,N/A,29,"86,421","2,372","4,592,916","381,221","12,047,923 ",Africa
259,New Zealand,"1,005,674","+9,257",826 ,+14,"948,717","+6,111","56,131",,"201,050",165,"7,111,457","1,421,694","5,002,100 ",Australia/Oceania
260,Nepal,"978,960",+12,"11,952 ",,"966,823",+17,185,,"32,515",397,"5,659,241","187,963","30,108,348 ",Asia
261,UAE,"900,764",+280,"2,302 ",,"884,771",+259,"13,691",,"89,079",228,"157,825,264","15,607,765","10,111,971 ",Asia
262,Ecuador,"871,046",,"35,602 ",,N/A,N/A,N/A,759,"48,019","1,963","2,470,170","136,174","18,139,765 ",South America
263,Guatemala,"850,255",+703,"17,719 ",+16,"830,386",+728,"2,150",5,"45,885",956,"4,516,595","243,746","18,529,950 ",North America
264,Panama,"793,137","+3,307","8,194 ",,"768,839",+935,"16,104",16,"178,606","1,845","5,960,270","1,342,193","4,440,696 ",North America
265,Saudi Arabia,"756,549",+569,"9,104 ",,"742,782",+105,"4,663",49,"21,121",254,"42,027,011","1,173,314","35,819,075 ",Asia
266,Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,064","2,587","2,633,737","361,034","7,294,987 ",South America
267,Myanmar,"613,066",+10,"19,434 ",,"591,987",+6,"1,645",,"11,129",353,"8,040,752","145,967","55,086,148 ",Asia
268,Dominican Republic,"580,020",+277,"4,376 ",,"575,175",+188,469,1,"52,492",396,"3,296,116","298,301","11,049,619 ",North America
269,Estonia,"573,922","+1,490","2,556 ",+8,"514,836","+2,979","56,530",3,"432,109","1,924","3,345,340","2,518,723","1,328,189 ",Europe
270,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,713","2,860","3,216,305","800,757","4,016,581 ",Europe
271,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,247",913,"2,477,219","351,651","7,044,535 ",Africa
272,Ethiopia,"470,798",+38,"7,510 ",,"455,743",+6,"7,545",3,"3,915",62,"4,820,100","40,087","120,241,699 ",Africa
273,Taiwan,"448,239","+50,744",943 ,+12,"39,254","+2,468","408,042",,"18,757",39,"15,584,088","652,144","23,896,703 ",Asia
274,Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,221","2,900","3,068,217","1,031,850","2,973,512 ",Asia
275,Oman,"389,325",+19,"4,259 ",,"384,516",+7,550,3,"72,807",796,"25,000,000","4,675,220","5,347,342 ",Asia
276,Qatar,"365,495",+161,677 ,,"363,974",+45,844,2,"130,171",241,"3,471,534","1,236,387","2,807,805 ",Asia
277,Zambia,"320,226",+69,"3,983 ",+1,"315,769",+36,474,1,"16,559",206,"3,443,019","178,043","19,338,144 ",Africa
278,Botswana,"306,324",+465,"2,690 ",+2,"303,026",,608,1,"125,561","1,103","2,026,898","830,816","2,439,647 ",Africa
279,Algeria,"265,804",+4,"6,875 ",,"178,366",+1,"80,563",6,"5,865",152,"230,861","5,094","45,319,019 ",Africa
280,Zimbabwe,"248,642",+106,"5,481 ",+2,"242,198",+80,963,12,"16,289",359,"2,278,641","149,281","15,264,075 ",Africa
281,Uzbekistan,"238,743",+7,"1,637 ",,"236,857",+4,249,23,"6,947",48,"1,377,915","40,092","34,368,538 ",Asia
282,Mozambique,"225,440",+10,"2,201 ",,"223,180",+11,59,13,"6,857",67,"1,317,300","40,066","32,878,321 ",Africa
283,Laos,"208,848",+89,752 ,+1,"7,660",,"200,436",,"27,953",101,"1,232,128","164,915","7,471,304 ",Asia
284,Iceland,"186,089",+28,119 ,,N/A,N/A,N/A,,"538,842",345,"2,264,004","6,555,680","345,350 ",Europe
285,Afghanistan,"179,087",+70,"7,686 ",+1,"162,052",+51,"9,349","1,124","4,416",190,"946,564","23,341","40,553,432 ",Asia
286,El Salvador,"162,089",,"4,129 ",+1,"150,662",,"7,298",8,"24,758",631,"1,950,448","297,920","6,546,890 ",North America
287,Namibia,"159,311",+33,"4,028 ",+1,"153,662",,"1,621",,"60,662","1,534","1,013,853","386,051","2,626,212 ",Africa
288,Trinidad and Tobago,"152,380",+574,"3,861 ",+5,"139,702",+483,"8,817",18,"108,233","2,742","718,984","510,682","1,407,891 ",North America
289,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,105","2,134","938,039","2,343,627","400,251 ",North America
290,Jamaica,"131,434",+107,"2,982 ",+2,"84,601",+87,"43,851",,"44,030",999,"1,021,789","342,293","2,985,133 ",North America
291,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,313",69,"1,751,774","63,080","27,770,620 ",Africa
292,Malta,"93,041",+123,713 ,+2,"89,273",+167,"3,055",4,"209,683","1,607","1,898,387","4,278,316","443,723 ",Europe
293,Senegal,"86,019",+3,"1,966 ",,"84,040",+2,13,,"4,898",112,"1,076,536","61,300","17,561,719 ",Africa
294,Ivory Coast,"81,977",+3,799 ,,"81,164",+2,14,,"2,971",29,"1,508,044","54,661","27,588,977 ",Africa
295,Suriname,"80,008",+615,"1,337 ",+9,"49,455",+53,"29,216",,"134,157","2,242","236,268","396,172","596,378 ",South America
296,Barbados,"74,454",+598,430 ,,"69,619",+151,"4,405",,"258,497","1,493","662,810","2,301,208","288,027 ",North America
297,Eswatini,"71,341",+126,"1,402 ",+1,"69,359",+17,580,11,"60,334","1,186","1,019,628","862,311","1,182,437 ",Africa
298,Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473",14,"2,214",48,"430,995","14,857","29,010,437 ",Africa
299,Sudan,"62,161",+12,"4,936 ",+1,N/A,N/A,N/A,,"1,359",108,"562,941","12,306","45,746,964 ",Africa
300,Bhutan,"59,530",+18,21 ,,"59,247",+23,262,2,"75,607",27,"2,303,162","2,925,163","787,362 ",Asia
301,Belize,"57,729",+54,676 ,,"56,732",+15,321,6,"140,456","1,645","546,449","1,329,527","411,010 ",North America
302,Syria,"55,863",+5,"3,150 ",,"52,360",+17,353,,"3,055",172,"146,269","7,998","18,288,648 ",Asia
303,Papua New Guinea,"43,839",+18,651 ,+1,"43,169",+36,19,7,"4,734",70,"249,149","26,902","9,261,214 ",Australia/Oceania
304,Curaçao,"42,567",,275 ,,"41,905",,387,3,"257,456","1,663","496,693","3,004,125","165,337 ",North America
305,Burundi,"41,116",+43,38 ,,N/A,N/A,N/A,,"3,277",3,"345,742","27,556","12,547,083 ",Africa
306,Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,091",656,"176,919","620,734","285,016 ",Africa
307,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,643",32,"660,107","47,858","13,793,000 ",Africa
308,Aruba,"35,189",,212 ,,"34,774",,203,,"327,014","1,970","177,885","1,653,099","107,607 ",North America
309,Bahamas,"33,779",+31,798 ,,"32,426",+10,555,,"84,403","1,994","229,817","574,240","400,211 ",North America
310,Mali,"30,950",+10,733 ,,"30,038",+3,179,,"1,451",34,"672,158","31,510","21,331,812 ",Africa
311,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,930","1,013","150,753","1,755,657","85,867 ",Europe
312,Somalia,"26,499",+14,"1,350 ",,"13,182",,"11,967",,"1,585",81,"400,466","23,958","16,714,995 ",Africa
313,Saint Lucia,"23,798",+20,368 ,,"23,086",+56,344,1,"128,511","1,987","143,281","773,727","185,183 ",North America
314,Cayman Islands,"22,828",,27 ,,"8,553",,"14,248",1,"339,940",402,"222,773","3,317,395","67,153 ",North America
315,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,731",33,,,"6,770,692 ",North America
316,Gibraltar,"17,996",,102 ,,"16,579",,"1,315",,"534,450","3,029","534,283","15,867,278","33,672 ",Europe
317,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,750",12,,,"9,934,733 ",Asia
318,San Marino,"16,743",+77,115 ,,"16,372",+70,256,4,"491,530","3,376","152,231","4,469,101","34,063 ",Europe
319,Grenada,"15,818",+335,220 ,,"14,549",+141,"1,049",4,"139,378","1,938","155,107","1,366,702","113,490 ",North America
320,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,938",23,"81,294","16,306","4,985,447 ",Africa
321,Dominica,"12,493",,63 ,,"12,148",,282,,"172,753",871,"192,785","2,665,832","72,317 ",North America
322,Monaco,"11,972",+26,54 ,,"11,816",+20,102,4,"301,122","1,358","54,960","1,382,363","39,758 ",Europe
323,Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,545","31,043,618 ",Asia
324,Tonga,"10,826",+61,11 ,,"9,705",+96,"1,110",,"100,319",102,"518,262","4,802,457","107,916 ",Australia/Oceania
325,Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,230","1,964","62,056","1,417,483","43,779 ",North America
326,Eritrea,"9,738",,103 ,,"9,631",,4,,"2,677",28,"23,693","6,514","3,637,426 ",Africa
327,Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"3,999",83,"135,624","66,022","2,054,216 ",Africa
328,Vanuatu,"8,080",+24,14 ,,"7,636",+49,430,,"25,215",44,"24,976","77,941","320,449 ",Australia/Oceania
329,Antigua and Barbuda,"7,663",,137 ,,"7,471",,55,1,"77,067","1,378","18,901","190,088","99,433 ",North America
330,Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,061","17,299,381 ",Africa
331,British Virgin Islands,"6,467",,62 ,,N/A,N/A,N/A,1,"211,312","2,026","103,397","3,378,545","30,604 ",North America
332,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6,,"26,334",322,"29,036","128,079","226,704 ",Africa
333,Cook Islands,"5,336",+30,1 ,,"5,215",+36,120,,"303,285",57,"17,280","982,153","17,594 ",Australia/Oceania
334,St. Barth,"4,575",,6 ,,N/A,N/A,N/A,,"460,586",604,"78,646","7,917,648","9,933 ",North America
335,Anguilla,"2,984",+196,9 ,,"2,916",+150,59,4,"195,659",590,"51,382","3,369,091","15,251 ",North America
336,Montserrat,653,+160,2 ,,313,+68,338,,"130,652",400,"10,843","2,169,468","4,998 ",North America
337,Falkland Islands,197,, ,,N/A,N/A,N/A,,"53,708",,"8,632","2,353,326","3,668 ",South America
338,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe
339,Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,560 ",Africa
340,Niue,9,, ,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania
341,Nauru,7,+1, ,,4,+1,3,,639,,,,"10,950 ",Australia/Oceania
