,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
27,Bulgaria,1147812.0,36756.0,944639.0,166417.0,131.0,167430.0,5362.0,9724468.0,1418499.0,Europe,6855465.0,6.0,187.0,1.0
28,Cuba,1098114.0,8519.0,1087352.0,2243.0,23.0,97055.0,753.0,12920253.0,1141938.0,North America,11314325.0,10.0,1328.0,1.0
29,Lithuania,1046395.0,8997.0,1000447.0,36951.0,47.0,394155.0,3389.0,8164615.0,3075438.0,Europe,2654781.0,3.0,295.0,0.0
30,Slovenia,992497.0,6541.0,956341.0,29615.0,32.0,477289.0,3146.0,2630208.0,1264860.0,Europe,2079446.0,2.0,318.0,1.0
31,Belarus,971649.0,6885.0,928536.0,36228.0,293.0128205128205,102888.0,729.0,12987175.0,1375207.0,Europe,9443797.0,10.0,1372.0,1.0
32,Bolivia,903677.0,21901.0,850689.0,31087.0,220.0,75583.0,1832.0,2688875.0,224896.0,South America,11956065.0,13.0,546.0,4.0
33,UAE,894523.0,2302.0,875602.0,16619.0,293.0128205128205,88542.0,228.0,151396113.0,14985514.0,Asia,10102831.0,11.0,4389.0,0.0
34,Costa Rica,844892.0,8357.0,825599.0,10936.0,44.0,163207.0,1614.0,4163300.0,804220.0,North America,5176817.0,6.0,619.0,1.0
35,Latvia,811056.0,5695.0,791297.0,14064.0,14.0,438614.0,3080.0,7114713.0,3847596.0,Europe,1849132.0,2.0,325.0,0.0
36,Azerbaijan,792305.0,9704.0,782416.0,185.0,293.0128205128205,76910.0,942.0,6755203.0,655740.0,Asia,10301650.0,13.0,1062.0,2.0
37,Saudi Arabia,752188.0,9062.0,738011.0,5115.0,66.0,21024.0,253.0,41704690.0,1165666.0,Asia,35777569.0,48.0,3948.0,1.0
38,Paraguay,648446.0,18734.0,624673.0,5039.0,3.0,88971.0,2570.0,2615453.0,358857.0,South America,7288285.0,11.0,389.0,3.0
39,Myanmar,612460.0,19434.0,591139.0,1887.0,293.0128205128205,11124.0,353.0,7805688.0,141771.0,Asia,55058290.0,90.0,2833.0,7.0
40,Dominican Republic,578626.0,4375.0,574132.0,119.0,16.0,52406.0,396.0,3251191.0,294457.0,North America,11041303.0,19.0,2524.0,3.0
41,Bahrain,561525.0,1473.0,555813.0,4239.0,3.0,310815.0,815.0,9662134.0,5348183.0,Asia,1806620.0,3.0,1226.0,0.0
42,Moldova,515804.0,11474.0,502452.0,1878.0,47.0,128396.0,2856.0,3192777.0,794758.0,Europe,4017295.0,8.0,350.0,1.0
43,Libya,501834.0,6429.0,490837.0,4568.0,101.0,71310.0,914.0,2475203.0,351722.0,Africa,7037385.0,14.0,1095.0,3.0
44,Mongolia,469266.0,2177.0,313256.0,153833.0,192.0,139160.0,646.0,4030048.0,1195106.0,Asia,3372126.0,7.0,1549.0,1.0
45,Armenia,422721.0,8621.0,410393.0,3707.0,293.0128205128205,142182.0,2900.0,3007841.0,1011689.0,Asia,2973090.0,7.0,345.0,1.0
46,Oman,388763.0,4257.0,383809.0,697.0,5.0,72838.0,798.0,25000000.0,4683950.0,Asia,5337375.0,14.0,1254.0,0.0
47,Qatar,363139.0,677.0,361291.0,1171.0,1.0,129332.0,241.0,3419116.0,1217718.0,Asia,2807805.0,8.0,4147.0,1.0
48,Kenya,323588.0,5649.0,317801.0,138.0,293.0128205128205,5791.0,101.0,3557516.0,63668.0,Africa,55876000.0,173.0,9891.0,16.0
49,North Macedonia,308152.0,9256.0,297724.0,1172.0,293.0128205128205,147921.0,4443.0,1988999.0,954771.0,Europe,2083222.0,7.0,225.0,1.0
50,Albania,274320.0,3494.0,270474.0,352.0,2.0,95508.0,1216.0,1789363.0,622992.0,Europe,2872210.0,10.0,822.0,2.0
51,Nigeria,255633.0,3142.0,249825.0,2666.0,11.0,1188.0,15.0,4977858.0,23129.0,Africa,215217370.0,842.0,68497.0,43.0
52,Uzbekistan,238176.0,1637.0,236127.0,412.0,23.0,6938.0,48.0,1377915.0,40136.0,Asia,34331414.0,144.0,20972.0,25.0
53,Luxembourg,227528.0,1052.0,211131.0,15345.0,3.0,353261.0,1633.0,4195400.0,6513797.0,Europe,644079.0,3.0,612.0,0.0
54,Kyrgyzstan,200973.0,2991.0,196304.0,1678.0,131.0,29927.0,445.0,1907195.0,283998.0,Asia,6715512.0,33.0,2245.0,4.0
55,Iceland,183974.0,110.0,75685.0,108179.0,1.0,532980.0,319.0,1953616.0,5659702.0,Europe,345180.0,2.0,3138.0,0.0
56,Afghanistan,178295.0,7676.0,161417.0,9202.0,1124.0,4404.0,190.0,932483.0,23032.0,Asia,40486198.0,227.0,5274.0,43.0
57,Uganda,164024.0,3596.0,100200.0,60228.0,293.0128205128205,3395.0,74.0,2596017.0,53740.0,Africa,48306880.0,295.0,13434.0,19.0
58,Ghana,161086.0,1445.0,159607.0,34.0,1.0,4999.0,45.0,2429358.0,75386.0,Africa,32225569.0,200.0,22301.0,13.0
59,Martinique,147519.0,918.0,104.0,146497.0,8.0,393649.0,2450.0,828928.0,2211961.0,North America,374748.0,3.0,408.0,0.0
60,Guadeloupe,140130.0,854.0,2250.0,137026.0,19.0,350110.0,2134.0,938039.0,2343656.0,North America,400246.0,3.0,469.0,0.0
61,Cambodia,136013.0,3055.0,132709.0,249.0,293.0128205128205,7940.0,178.0,2941393.0,171707.0,Asia,17130265.0,126.0,5607.0,6.0
62,Jamaica,129108.0,2919.0,82176.0,44013.0,293.0128205128205,43265.0,978.0,957157.0,320747.0,North America,2984146.0,23.0,1022.0,3.0
63,Angola,99194.0,1900.0,97149.0,145.0,293.0128205128205,2860.0,55.0,1499795.0,43244.0,Africa,34682277.0,350.0,18254.0,23.0
64,DRC,86748.0,1337.0,50930.0,34481.0,293.0128205128205,919.0,14.0,846704.0,8970.0,Africa,94398074.0,1088.0,70604.0,111.0
65,Malawi,85713.0,2628.0,81889.0,1196.0,67.0,4284.0,131.0,567431.0,28360.0,Africa,20008204.0,233.0,7613.0,35.0
66,French Guiana,79529.0,394.0,11254.0,67881.0,4.0,254545.0,1261.0,613484.0,1963551.0,South America,312436.0,4.0,793.0,1.0
67,French Polynesia,72596.0,648.0,2569389.7672955976,89703.6289308176,7.0,255804.0,2283.0,32960.59567901235,2131213.886792453,Australia/Oceania,283795.0,4.0,438.0,9.40566037735849
68,Eswatini,70048.0,1395.0,68567.0,86.0,11.0,59286.0,1181.0,1008368.0,853451.0,Africa,1181519.0,17.0,847.0,1.0
