,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
0,USA,"84,174,521",,"1,026,527 ",,"81,207,081","+2,147","1,940,913","1,936","251,558","3,068","1,016,652,419","3,038,299","334,612,330 ",North America
1,India,"43,119,112",,"524,201 ",,"42,576,815",,"18,096",698,"30,685",373,"842,944,795","599,860","1,405,235,993 ",Asia
2,France,"29,130,343",,"147,257 ",,"28,097,720",,"885,366","1,329","444,452","2,247","271,490,188","4,142,225","65,542,109 ",Europe
3,UK,"22,159,805",,"176,708 ",,"21,657,770",,"325,327",253,"323,269","2,578","519,264,096","7,575,058","68,549,194 ",Europe
4,S. Korea,"17,756,627","+29,541","23,661 ",+55,N/A,N/A,N/A,341,"345,788",461,"15,804,065","307,764","51,351,235 ",Asia
5,Turkey,"15,051,761",,"98,885 ",,"14,949,593",,"3,283",975,"174,966","1,149","160,495,172","1,865,642","86,026,772 ",Asia
6,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"197,997","2,800","35,716,069","776,993","45,967,042 ",South America
7,Netherlands,"8,067,116",,"22,292 ",,"7,984,457",,"60,367",55,"468,872","1,296","21,107,399","1,226,791","17,205,377 ",Europe
8,Iran,"7,227,683",+255,"141,216 ",+7,"7,018,868","+2,191","67,599",751,"84,050","1,642","51,733,191","601,604","85,992,158 ",Asia
9,Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,463","2,694","34,675,581","668,233","51,891,469 ",South America
10,Poland,"6,003,297",+434,"116,207 ",+21,"5,335,102",+32,"551,988",981,"158,945","3,077","36,218,274","958,928","37,769,533 ",Europe
11,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A,177,"115,769","2,508","19,521,252","451,408","43,245,267 ",Europe
12,Thailand,"4,367,752","+6,736","29,424 ",+54,"4,264,998","+9,213","73,330","1,496","62,285",420,"17,270,775","246,283","70,125,689 ",Asia
13,Belgium,"4,116,397",,"31,613 ",,"3,935,128",,"149,656",117,"352,328","2,706","33,846,023","2,896,927","11,683,424 ",Europe
14,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,104","2,211","41,810,659","4,122,759","10,141,427 ",Europe
15,South Africa,"3,879,434",,"100,744 ",,"3,702,416",,"76,274",192,"63,912","1,660","24,841,314","409,252","60,699,249 ",Africa
16,Philippines,"3,687,748",,"60,455 ",,"3,624,171",,"3,122",289,"32,840",538,"29,806,193","265,432","112,293,283 ",Asia
17,Chile,"3,595,968",,"57,697 ",,"3,461,103",,"77,168",171,"185,155","2,971","37,581,991","1,935,085","19,421,364 ",South America
18,Greece,"3,384,982",,"29,521 ",,"3,299,132",,"56,329",178,"327,736","2,858","81,097,651","7,851,913","10,328,394 ",Europe
19,Romania,"2,902,790",+520,"65,606 ",+6,N/A,N/A,N/A,138,"152,786","3,453","22,943,983","1,207,635","18,999,100 ",Europe
20,Iraq,"2,326,356",+68,"25,216 ",,"2,299,883",+87,"1,257",11,"55,521",602,"18,525,204","442,124","41,900,507 ",Asia
21,Bangladesh,"1,952,979",+22,"29,127 ",,"1,899,150",+520,"24,702","1,273","11,643",174,"14,047,637","83,746","167,740,682 ",Asia
22,Slovakia,"1,786,914",+335,"20,028 ",+10,"1,760,937",+926,"5,949",30,"327,001","3,665","7,125,922","1,304,025","5,464,560 ",Europe
23,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,415","4,229","16,920,079","4,256,700","3,974,929 ",Asia
24,Pakistan,"1,529,165",+85,"30,376 ",,"1,494,141",,"4,648",119,"6,681",133,"28,333,116","123,797","228,867,052 ",Asia
25,Kazakhstan,"1,305,636",+5,"13,661 ",,"1,291,669",+258,306,24,"68,022",712,"11,575,012","603,042","19,194,373 ",Asia
26,Hong Kong,"1,208,247",+284,"9,360 ",+1,N/A,N/A,N/A,5,"158,769","1,230","44,972,952","5,909,645","7,610,094 ",Asia
27,Bulgaria,"1,161,351",,"37,043 ",,"1,014,280",,"110,028",56,"169,511","5,407","9,921,119","1,448,084","6,851,202 ",Europe
28,Cuba,"1,104,393",,"8,529 ",,"1,095,369",,495,23,"97,615",754,"12,920,253","1,141,995","11,313,760 ",North America
29,Finland,"1,069,740",,"4,284 ",,N/A,N/A,N/A,21,"192,513",771,"10,832,080","1,949,364","5,556,726 ",Europe
30,Tunisia,"1,041,197",,"28,575 ",,N/A,N/A,N/A,29,"86,416","2,372","4,592,916","381,199","12,048,599 ",Africa
31,Slovenia,"1,019,468",+553,"6,622 ",+3,"1,003,559",+970,"9,287",9,"490,254","3,184","2,656,926","1,277,694","2,079,469 ",Europe
32,Nepal,"978,991",+2,"11,952 ",,"966,889",+16,150,,"32,513",397,"5,667,049","188,204","30,111,215 ",Asia
33,Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,155","2,063","6,114,822","1,749,032","3,496,118 ",South America
34,Ecuador,"872,268",,"35,607 ",,N/A,N/A,N/A,759,"48,082","1,963","2,470,170","136,163","18,141,230 ",South America
35,Guatemala,"851,877",,"17,792 ",,"831,794",,"2,291",5,"45,968",960,"4,543,522","245,175","18,531,763 ",North America
36,Panama,"803,223",,"8,202 ",,"771,367",,"23,654",16,"180,863","1,847","6,005,884","1,352,352","4,441,067 ",North America
37,Saudi Arabia,"758,795",+434,"9,114 ",+3,"743,572",+263,"6,109",63,"21,182",254,"42,122,082","1,175,871","35,822,040 ",Asia
