,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
265,Guatemala,"856,496",+120,"17,954 ",+12,"835,876",+152,"2,666",5,"46,195",968,"4,585,934","247,342","18,540,831 ",North America
266,Latvia,"826,856",,"5,813 ",,"818,257",,"2,786",7,"447,707","3,147","7,235,935","3,917,949","1,846,868 ",Europe
267,Saudi Arabia,"763,042",+467,"9,130 ",+2,"747,492",+493,"6,420",77,"21,292",255,"42,329,395","1,181,169","35,836,864 ",Asia
268,Paraguay,"650,283",,"18,885 ",,"624,673",,"6,725",4,"89,106","2,588","2,633,737","360,892","7,297,859 ",South America
269,Myanmar,"613,222",+3,"19,434 ",,"592,186",+12,"1,602",,"11,130",353,"8,138,688","147,713","55,098,088 ",Asia
270,Bahrain,"581,371",+574,"1,482 ",+2,"575,470",+665,"4,419",26,"320,647",817,"9,815,874","5,413,800","1,813,121 ",Asia
271,Estonia,"575,046",,"2,561 ",,"516,588",,"55,897",4,"432,945","1,928","3,357,306","2,527,677","1,328,218 ",Europe
272,Moldova,"517,753",,"11,503 ",,"504,142",,"2,108",49,"128,914","2,864","3,216,305","800,818","4,016,275 ",Europe
273,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,216",912,"2,477,219","351,498","7,047,599 ",Africa
274,Ethiopia,"471,373",+30,"7,512 ",,"455,810",,"8,051",6,"3,917",62,"4,867,783","40,452","120,335,347 ",Africa
275,Honduras,"424,771",,"10,896 ",,"132,401",,"281,474",105,"41,637","1,068","1,369,816","134,272","10,201,836 ",North America
276,Réunion,"411,363",,770 ,,"403,795",,"6,798",10,"453,358",849,"1,603,660","1,767,374","907,369 ",Africa
277,Bosnia and Herzegovina,"377,709",,"15,783 ",,N/A,N/A,N/A,,"116,493","4,868","1,771,319","546,312","3,242,324 ",Europe
278,Kenya,"324,242",+20,"5,651 ",+2,"318,276",+13,315,,"5,789",101,"3,649,319","65,160","56,005,746 ",Africa
